iter	Passed	Remaining
427	1738	2323
428	1741	2318
429	1743	2311
430	1746	2305
431	1749	2299
432	1751	2293
433	1754	2288
434	1756	2282
435	1761	2278
436	1765	2274
437	1768	2269
438	1771	2264
439	1774	2259
440	1779	2255
441	1782	2250
442	1785	2245
443	1789	2240
444	1792	2235
445	1796	2231
446	1800	2227
447	1804	2223
448	1807	2218
449	1811	2213
450	1814	2208
451	1817	2203
452	1826	2206
453	1833	2204
454	1835	2198
455	1838	2192
456	1840	2187
457	1845	2183
458	1847	2177
459	1850	2172
460	1852	2166
461	1856	2162
462	1859	2156
463	1862	2151
464	1864	2145
465	1869	2142
466	1872	2136
467	1874	2130
468	1877	2125
469	1881	2121
470	1886	2118
471	1889	2114
472	1893	2110
473	1897	2105
474	1900	2100
475	1909	2101
476	1914	2099
477	1918	2094
478	1922	2090
479	1925	2085
480	1928	2080
481	1932	2076
482	1935	2071
483	1938	2066
484	1940	2060
485	1944	2056
486	1947	2051
487	1950	2046
488	1953	2041
489	1957	2037
490	1961	2032
491	1964	2028
492	1967	2023
493	1970	2018
494	1974	2013
495	1978	2009
496	1981	2005
497	1985	2001
498	1989	1997
499	1992	1992
500	1994	1986
501	1997	1981
502	2000	1976
503	2003	1972
504	2008	1968
505	2011	1963
506	2014	1959
507	2019	1955
508	2028	1957
509	2032	1952
510	2035	1947
511	2037	1942
512	2040	1936
513	2042	1931
514	2046	1927
515	2051	1923
516	2054	1919
517	2058	1915
518	2061	1910
519	2064	1905
520	2067	1900
521	2071	1896
522	2074	1892
523	2077	1887
524	2082	1883
525	2085	1879
526	2088	1874
527	2091	1869
528	2095	1865
529	2098	1860
530	2101	1856
531	2105	1851
532	2109	1848
533	2113	1844
534	2117	1840
535	2120	1835
536	2123	1831
537	2130	1829
538	2133	1824
539	2136	1819
540	2139	1814
541	2141	1809
542	2144	1804
543	2146	1799
544	2148	1794
545	2151	1789
546	2154	1784
547	2157	1779
548	2159	1774
549	2162	1769
550	2165	1764
551	2167	1759
552	2170	1754
553	2172	1749
554	2175	1744
555	2178	1739
556	2182	1735
557	2186	1731
558	2191	1729
559	2195	1724
560	2198	1720
561	2202	1716
562	2205	1712
563	2208	1707
564	2212	1703
565	2216	1699
566	2220	1695
567	2223	1690
568	2226	1686
569	2231	1683
570	2236	1680
571	2242	1677
572	2245	1673
573	2249	1669
574	2257	1668
575	2261	1665
576	2265	1660
577	2268	1655
578	2270	1651
579	2273	1646
580	2278	1643
581	2280	1638
582	2283	1633
583	2286	1628
584	2289	1624
585	2292	1619
586	2294	1614
587	2297	1609
588	2299	1604
589	2302	1600
590	2305	1595
591	2307	1590
592	2310	1585
593	2312	1580
594	2315	1575
595	2318	1571
596	2322	1567
597	2326	1563
598	2329	1559
599	2332	1554
600	2336	1551
601	2340	1547
602	2343	1542
603	2346	1538
604	2350	1534
605	2353	1530
606	2356	1525
607	2359	1521
608	2363	1517
609	2366	1513
610	2369	1508
611	2372	1504
612	2376	1500
613	2379	1496
614	2383	1492
615	2391	1490
616	2394	1486
617	2397	1481
618	2400	1477
619	2403	1472
620	2405	1468
621	2408	1463
622	2411	1459
623	2413	1454
624	2416	1449
625	2419	1445
626	2421	1440
627	2426	1437
628	2428	1432
629	2430	1427
630	2433	1422
631	2436	1418
632	2439	1414
633	2441	1409
634	2444	1404
635	2447	1400
636	2449	1396
637	2452	1391
638	2455	1386
639	2460	1383
640	2463	1379
641	2467	1375
642	2470	1371
643	2474	1368
644	2478	1364
645	2481	1359
646	2485	1356
647	2488	1351
648	2491	1347
649	2495	1343
650	2499	1340
651	2503	1336
652	2506	1331
653	2510	1328
654	2513	1324
655	2517	1319
656	2520	1315
657	2524	1312
658	2528	1308
659	2533	1304
660	2537	1301
661	2539	1296
662	2542	1292
663	2547	1289
664	2549	1284
665	2552	1280
666	2555	1275
667	2558	1271
668	2560	1266
669	2563	1262
670	2565	1258
671	2568	1253
672	2571	1249
673	2573	1244
674	2576	1240
675	2579	1236
676	2582	1231
677	2584	1227
678	2587	1223
679	2590	1218
680	2592	1214
681	2597	1210
682	2601	1207
683	2604	1203
684	2608	1199
685	2611	1195
686	2614	1191
687	2618	1187
688	2621	1183
689	2625	1179
690	2628	1175
691	2632	1171
692	2635	1167
693	2639	1163
694	2643	1160
695	2648	1156
696	2654	1153
697	2659	1150
698	2664	1147
699	2668	1143
700	2672	1139
701	2676	1136
702	2680	1132
703	2684	1128
704	2688	1125
705	2691	1120
706	2696	1117
707	2699	1113
708	2702	1109
709	2706	1105
710	2711	1102
711	2716	1098
712	2721	1095
713	2727	1092
714	2731	1088
715	2735	1084
716	2739	1081
717	2742	1077
718	2749	1074
719	2758	1072
720	2762	1068
721	2765	1064
722	2767	1060
723	2772	1056
724	2774	1052
725	2777	1048
726	2780	1043
727	2782	1039
728	2785	1035
729	2788	1031
730	2790	1026
731	2793	1022
732	2796	1018
733	2799	1014
734	2802	1010
735	2804	1006
736	2807	1001
737	2810	997
738	2812	993
739	2815	989
740	2818	985
741	2821	981
742	2824	976
743	2826	972
744	2829	968
745	2832	964
746	2834	960
747	2837	955
748	2839	951
749	2842	947
750	2845	943
751	2848	939
752	2851	935
753	2853	931
754	2856	926
755	2858	922
756	2861	918
757	2864	914
758	2866	910
759	2869	906
760	2872	902
761	2875	898
762	2879	894
763	2883	890
764	2886	886
765	2889	882
766	2891	878
767	2894	874
768	2897	870
769	2900	866
770	2903	862
771	2906	858
772	2910	854
773	2913	850
774	2917	846
775	2923	844
776	2927	840
777	2930	836
778	2937	833
779	2941	829
780	2944	825
781	2949	822
782	2952	818
783	2955	814
784	2957	810
785	2961	806
786	2963	802
787	2966	798
788	2969	794
789	2972	790
790	2975	786
791	2977	782
792	2980	778
793	2984	774
794	2987	770
795	2990	766
796	2995	762
797	2997	758
798	3000	754
799	3003	750
800	3007	747
801	3010	743
802	3013	739
803	3015	735
804	3023	732
805	3026	728
806	3029	724
807	3034	720
808	3036	716
809	3039	712
810	3042	708
811	3046	705
812	3048	701
813	3051	697
814	3053	693
815	3057	689
816	3060	685
817	3062	681
818	3065	677
819	3068	673
820	3071	669
821	3074	665
822	3076	661
823	3079	657
824	3082	653
825	3084	649
826	3087	645
827	3090	641
828	3094	638
829	3096	634
830	3099	630
831	3102	626
832	3106	622
833	3109	618
834	3111	614
835	3114	610
836	3119	607
837	3122	603
838	3125	599
839	3127	595
840	3132	592
841	3134	588
842	3137	584
843	3140	580
844	3145	576
845	3147	572
846	3150	569
847	3153	565
848	3156	561
849	3160	557
850	3164	553
851	3166	550
852	3170	546
853	3172	542
854	3175	538
855	3178	534
856	3181	530
857	3184	526
858	3187	523
859	3190	519
860	3193	515
861	3196	511
862	3199	507
863	3201	503
864	3204	500
865	3207	496
866	3209	492
867	3212	488
868	3217	485
869	3219	481
870	3222	477
871	3224	473
872	3229	469
873	3231	465
874	3234	462
875	3236	458
876	3240	454
877	3242	450
878	3245	446
879	3247	442
880	3250	439
881	3253	435
882	3255	431
883	3258	427
884	3261	423
885	3265	420
886	3267	416
887	3270	412
888	3272	408
889	3275	404
890	3277	400
891	3280	397
892	3282	393
893	3285	389
894	3288	385
895	3291	382
896	3294	378
897	3299	374
898	3303	371
899	3306	367
900	3310	363
901	3314	360
902	3318	356
903	3321	352
904	3325	349
905	3328	345
906	3331	341
907	3335	337
908	3341	334
909	3344	330
910	3347	327
911	3349	323
912	3353	319
913	3355	315
914	3359	312
915	3361	308
916	3365	304
