iter	RMSE
803	109.3992782
804	109.2719267
805	109.0992945
806	109.0818188
807	109.0044603
808	108.949034
809	108.9304773
810	108.9124502
811	108.5707498
812	108.4593966
813	108.2091962
814	108.1929286
815	108.0636508
816	107.951676
817	107.9322282
818	107.7460824
819	107.6637406
820	107.6295092
821	107.5356551
822	107.3271187
823	107.129973
824	106.9863253
825	106.9160136
826	106.849669
827	106.6983493
828	106.6677732
829	106.5200986
830	106.3823145
831	106.2727779
832	106.1573524
833	106.1118719
834	106.0863855
835	105.9086377
836	105.8806478
837	105.8534478
838	105.8059673
839	105.7405491
840	105.6503325
841	105.5171793
842	105.4258085
843	105.3049046
844	105.2217917
845	105.1155738
846	104.9905648
847	104.9414448
848	104.9164925
849	104.7728875
850	104.7207933
851	104.6081921
852	104.4727294
853	104.3727894
854	104.2735975
855	104.1559954
856	104.0558624
857	103.9722192
858	103.9221003
859	103.8467996
860	103.6665814
861	103.6533124
862	103.5963127
863	103.5264709
864	103.4224843
865	103.3975339
866	103.3733583
867	103.3107508
868	103.0972376
869	102.9645378
870	102.8768517
871	102.7557115
872	102.6855976
873	102.6794014
874	102.6733634
875	102.5737961
876	102.5267106
877	102.4626346
878	102.4011237
879	102.3173086
880	102.1317648
881	102.1047709
882	102.0577077
883	101.9772545
884	101.9092394
885	101.803393
886	101.7509895
887	101.4643094
888	101.3247772
889	101.1801894
890	101.0025566
891	100.9412702
892	100.8574596
893	100.8134503
894	100.6841153
895	100.6627398
896	100.5124708
897	100.3706103
898	100.2849181
899	100.14893
900	100.024389
901	99.95906922
902	99.88521046
903	99.73313274
904	99.65332934
905	99.62826663
906	99.5424824
907	99.47727133
908	99.47133853
909	99.36645926
910	99.31677641
911	99.24644081
912	99.24066869
913	99.06660281
914	99.06097688
915	98.81592097
916	98.59422678
917	98.51121585
918	98.31528728
919	98.29557346
920	98.23187638
921	98.14696694
922	98.07366313
923	98.04842597
924	97.99868486
925	97.97424731
926	97.92151418
927	97.79333701
928	97.69981991
929	97.61633019
930	97.52740511
931	97.42979818
932	97.27941035
933	97.2082324
934	97.1815283
935	97.16898003
936	97.08975849
937	97.07132577
938	96.97930278
939	96.92224359
940	96.82205027
941	96.71679667
942	96.67616355
943	96.57409765
944	96.53538213
945	96.42079882
946	96.33135839
947	96.28676159
948	96.1843416
949	96.16305121
950	96.14798198
951	96.0707521
952	96.05551793
953	96.0412764
954	96.02165666
955	95.89962238
956	95.88370739
957	95.78663658
958	95.74103288
959	95.65958112
960	95.61209042
961	95.54097317
962	95.48310565
963	95.37101231
964	95.3047207
965	95.21100246
966	95.12843726
967	95.095472
968	95.02091562
969	94.90747303
970	94.8201257
