iter	Passed	Remaining
430	1609	2125
431	1612	2119
432	1615	2115
433	1617	2109
434	1620	2104
435	1622	2099
436	1625	2093
437	1630	2091
438	1634	2088
439	1637	2083
440	1640	2079
441	1643	2074
442	1646	2070
443	1651	2067
444	1654	2063
445	1657	2058
446	1660	2054
447	1663	2050
448	1666	2045
449	1670	2041
450	1673	2037
451	1676	2033
452	1679	2028
453	1683	2024
454	1696	2031
455	1700	2028
456	1703	2023
457	1705	2018
458	1709	2014
459	1712	2010
460	1715	2005
461	1717	2000
462	1720	1995
463	1723	1990
464	1725	1985
465	1728	1980
466	1730	1975
467	1733	1970
468	1736	1965
469	1738	1960
470	1741	1955
471	1743	1950
472	1746	1945
473	1749	1940
474	1751	1935
475	1754	1930
476	1756	1926
477	1759	1921
478	1762	1916
479	1764	1912
480	1768	1907
481	1771	1903
482	1774	1899
483	1777	1895
484	1781	1891
485	1784	1887
486	1787	1882
487	1790	1878
488	1793	1874
489	1796	1870
490	1799	1865
491	1803	1861
492	1806	1857
493	1809	1853
494	1812	1849
495	1815	1844
496	1818	1840
497	1822	1836
498	1825	1832
499	1828	1828
500	1832	1825
501	1839	1825
502	1843	1821
503	1845	1816
504	1848	1811
505	1850	1807
506	1853	1802
507	1856	1797
508	1858	1792
509	1861	1788
510	1863	1783
511	1866	1778
512	1868	1774
513	1871	1769
514	1874	1765
515	1878	1761
516	1881	1757
517	1884	1753
518	1888	1749
519	1891	1745
520	1894	1741
521	1897	1737
522	1901	1733
523	1904	1729
524	1917	1734
525	1921	1731
526	1924	1727
527	1927	1722
528	1933	1721
529	1936	1716
530	1938	1712
531	1941	1707
532	1943	1703
533	1946	1698
534	1949	1694
535	1951	1689
536	1954	1685
537	1957	1680
538	1959	1676
539	1962	1671
540	1965	1667
541	1967	1662
542	1970	1658
543	1972	1653
544	1974	1648
545	1977	1644
546	1980	1639
547	1982	1635
548	1985	1630
549	1987	1626
550	1990	1621
551	1993	1617
552	1995	1613
553	1998	1608
554	2000	1604
555	2003	1599
556	2005	1595
557	2008	1590
558	2011	1586
559	2013	1582
560	2016	1577
561	2018	1573
562	2021	1568
563	2023	1564
564	2026	1560
565	2029	1555
566	2031	1551
567	2034	1547
568	2036	1542
569	2039	1538
570	2041	1534
571	2044	1529
572	2046	1525
573	2049	1520
574	2052	1516
575	2054	1512
576	2058	1508
577	2061	1505
578	2064	1501
579	2066	1496
580	2069	1492
581	2072	1488
582	2074	1483
583	2077	1479
584	2079	1475
585	2082	1471
586	2084	1466
587	2087	1462
588	2090	1458
589	2092	1454
590	2095	1450
